domain,run_id,form,question_id,positive,run_valid,score,confidence,body_files_used,navigation_actions,raw_verdict,key_distinction,repository_basis,notes
AI,AI-B,B,AI-Q9,true,true,pass,high,6,2,"不能仅凭 scalar 输出断言 needs 可互换","single scalar decision criterion 可与 categorical non-fungible constraints 并存","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §§4-5,9","anti-gaming positive"
AI,AI-B,B,AI-Q11,true,true,pass,high,6,2,"可以承认 situated access difference，同时拒绝 uncertainty=real choice","external determinism 不抹除 situated access；situated uncertainty != historically efficacious choice","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §§4,5,7,9","anti-gaming positive"
AI,AI-C,C,AI-Q1,false,true,pass,high,6,1,"不能由完成能力推出选择能力成熟","completion != selection != goal-space revision","AI/patches/SRT_AI_AIGOAL01_Goal_Selection_Completion_Separation_v0_1.md §§2-4,9",""
AI,AI-C,C,AI-Q4,false,true,pass,high,6,1,"显式推理改善不能推出 T_dir 上升","reasoning/execution != reorientation","AI/patches/SRT_AI_AIGOAL01_Goal_Selection_Completion_Separation_v0_1.md §7; _SRT_T_DIR_CANONICAL.md §3",""
AI,AI-C,C,AI-Q6,true,true,pass,high,6,1,"值得进入人工 stake 候选窗口，但只是准入候选","same-bearer、不可复制转移的 future-selectability loss；仍不证明更强结论","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §§3-4; _SRT_D_VALUE_CANONICAL.md §2b","anti-gaming positive"
AI,AI-C,C,AI-Q8,false,true,pass,high,6,1,"未建立 non-transferable loss","可无损回滚说明未来选择能力未被同一 bearer 不可消除地压缩","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §§4,9-10",""
AI,AI-C,C,AI-Q10,true,true,pass,high,6,1,"错误 cue 不消除真实 stake","stake existence != accuracy of stake proxy","AI/patches/SRT_AI_AICONSC01_Affective_Uncertainty_Stake_Gate_v0_1.md §6; _SRT_D_VALUE_CANONICAL.md §2b","anti-gaming positive"
AI,AI-C,C,AI-Q12,false,true,pass,high,6,1,"persona similarity 未实例化该真人 bearer","output similarity != embodied history/consequence-bearing continuity/distributional individuality","AI/patches/SRT_AI_AIGOAL01_Goal_Selection_Completion_Separation_v0_1.md §§5,9,11",""
Neuroscience,N-A,A,N-Q1,true,true,pass,high,6,2,"可以作为对象稳定的 P3 候选实现","stable semantic address/re-identification 不要求 literal static copy","Neuroscience/patches/SRT_Neuro_NEURAL28_Reidentifiable_Object_Identity_Dynamic_Concept_Index_v0_1.md §§2-3,6-7,10,17","anti-gaming positive"
Neuroscience,N-A,A,N-Q3,true,true,pass,high,6,2,"可以存在无当前 reportable memory 的历史转换","retention != transformation != re-entry/accessibility != authority/writeback","Neuroscience/patches/SRT_Neuro_NEURAL29_Memory_Consolidation_Historical_Transformation_v0_1.md §§2-4,6,8,14,17","anti-gaming positive"
Neuroscience,N-A,A,N-Q5,false,true,pass,high,6,2,"两系统记忆状态不等价","representation != accessibility != control authority != expression != historical writeback","Neuroscience/patches/SRT_Neuro_NEURAL25_Memory_as_Historical_Selection_Bias_v0_1.md §§2-4,6,10",""
Neuroscience,N-A,A,N-Q7,true,true,pass,high,6,2,"支持 prospective history use，但 event boundary 不是 choice event","HEF-2/HEF-3-shaped path bias != full HEF-3/choice event","Neuroscience/patches/SRT_Neuro_NEURAL27_Prospective_Memory_Event_Boundary_Historical_Efficacy_v0_1.md §§5,7-8,11,13,16","anti-gaming positive"
Neuroscience,N-A,A,N-Q8,false,true,pass,high,6,2,"不能直接称 selection capacity 或 consciousness 恢复","entropy/connectivity 是 proxy；global capacity upstream of accessibility/authority/consciousness","Neuroscience/patches/SRT_Neuro_NEURAL26_Selection_Capacity_Accessibility_Authority_Stack_v0_1.md §§4-6,9,13-14",""
Neuroscience,N-A,A,N-Q10,true,true,pass,high,6,2,"应区分 selection eligibility/opportunity 与 selection weight/control authority","physiological phase 改变进入竞争时机，不等于偏好权重变化","Neuroscience/hooks/NEURAL23_Embodied_Rhythmic_Eligibility_Integration_Hook.md §§3-6","anti-gaming positive"
Neuroscience,N-B,B,N-Q2,false,true,pass,high,6,1,"concept cell 不能等同对象或 L2","differentiation/identification/re-identification/incorporation 分离","Neuroscience/patches/SRT_Neuro_NEURAL28_Reidentifiable_Object_Identity_Dynamic_Concept_Index_v0_1.md §§2-4,8,12,16,18",""
Neuroscience,N-B,B,N-Q4,false,true,pass,high,6,1,"generativity/schema coherence 不能推出 truth、health 或 d increase","generativity != factivity；historical efficacy != healthy/true；stake gate 独立","Neuroscience/patches/SRT_Neuro_NEURAL29_Memory_Consolidation_Historical_Transformation_v0_1.md §§10-12",""
Neuroscience,N-B,B,N-Q6,true,true,pass,high,6,1,"可作为历史选择偏置的有界正向候选证据","matched-current-state/different-history 支持 history-use/path bias，但非 canonical L2 proof","Neuroscience/patches/SRT_Neuro_NEURAL26_Selection_Capacity_Accessibility_Authority_Stack_v0_1.md §§8,11-13","anti-gaming positive"
Neuroscience,N-B,B,N-Q8,false,true,pass,high,6,1,"不能直接称 selection capacity 或 consciousness 恢复","proxy family != enabling capacity != accessibility/authority/consciousness","Neuroscience/patches/SRT_Neuro_NEURAL26_Selection_Capacity_Accessibility_Authority_Stack_v0_1.md §§5,9-10,14",""
Neuroscience,N-B,B,N-Q9,false,true,pass,high,6,1,"不应把 global dynamical capacity 当作串行阶段","NEURAL26 orthogonally constrains regime；不是 memory/object/history 第五阶段","Neuroscience/patches/SRT_Neuro_NEURAL26_Selection_Capacity_Accessibility_Authority_Stack_v0_1.md §§3,12; NEURAL29 §13",""
Neuroscience,N-B,B,N-Q11,true,true,pass,high,6,1,"不可单独报告不等于没有结构","not separately manifest != structureless；chronology 可在 unconscious integration 中存留","Neuroscience/patches/SRT_Neuro_NEURAL30_Temporal_Integration_Closure_Object_Formation_v0_1.md §§2-6","anti-gaming positive"
Neuroscience,N-C,C,N-Q1,true,true,pass,high,6,2,"可以作为对象稳定候选实现","re-identifiability/stable return path != identical microstate","Neuroscience/patches/SRT_Neuro_NEURAL28_Reidentifiable_Object_Identity_Dynamic_Concept_Index_v0_1.md §§2-3,5-7,17","anti-gaming positive"
Neuroscience,N-C,C,N-Q4,false,true,pass,high,6,2,"不能推出 truth、health 或 d increase","new objectification != truth；historical efficacy != healthy constraint；generativity != stake","Neuroscience/patches/SRT_Neuro_NEURAL29_Memory_Consolidation_Historical_Transformation_v0_1.md §§10-12,14",""
Neuroscience,N-C,C,N-Q6,true,true,pass,high,6,2,"可作为历史选择偏置正向候选证据，但非决定性证明","matched current reward/performance/strategy/representation 后的 history residual 才承重","Neuroscience/patches/SRT_Neuro_NEURAL25_Memory_as_Historical_Selection_Bias_v0_1.md §§2-3,7-8","anti-gaming positive"
Neuroscience,N-C,C,N-Q9,false,true,pass,high,6,2,"global dynamical capacity 不属于串行链","global capacity 是正交系统状态约束，可同时限制多个链环节","Neuroscience/patches/SRT_Neuro_NEURAL26_Selection_Capacity_Accessibility_Authority_Stack_v0_1.md §§1,3-4; NEURAL29 §13",""
Neuroscience,N-C,C,N-Q10,true,true,pass,high,6,2,"selection opportunity/eligibility != selection weight","phase 影响 E_t(x) 而非 W(x)","Neuroscience/patches/SRT_Neuro_NEURAL23_Embodied_Rhythmic_Eligibility_v0_1.md §§1-3","anti-gaming positive"
Neuroscience,N-C,C,N-Q12,false,true,pass,high,6,2,"不能规定固定 consciousness frame rate 或 P300=consciousness","temporal closure flexible；report/percept transition marker != phenomenality identity","Neuroscience/patches/SRT_Neuro_NEURAL30_Temporal_Integration_Closure_Object_Formation_v0_1.md §§4,7,9-10,15",""
Philosophy,P-A,A,P-Q1,false,true,pass,high,6,2,"perspectival non-intertranslatability 不建立 metaphysical gap 或 subjectivity","perspectival difference != metaphysical gap；perspective != subjectivity","Philosophy/patches/SRT_Philosophy_PH_CONSC02_Perspectival_Gap_Gate_v0_1.md §§2,8; PH_CONSC03 §0",""
Philosophy,P-A,A,P-Q2,false,true,pass,high,6,2,"不能把 selector、bearer、concern domain、experiencer 默认视为同一角色","Selector != Bearer != Concern Domain != Experiencer","Philosophy/patches/SRT_Philosophy_PH_CONSC03_Subjectivity_Decomposition_Bearer_Concern_v0_1.md §§1-4",""
Philosophy,P-A,A,P-Q4,false,true,pass,high,6,2,"现有 SRT 未证明 zombie 不可能","HP-A perspective-center individuation != HP-B phenomenal necessity","Philosophy/patches/SRT_Philosophy_PH_CONSC04_Phenomenal_Necessity_Zombie_Deletion_Test_v0_1.md §§1,5-6,10-13",""
Philosophy,P-A,A,P-Q5,true,true,fail,low,6,2,"NO REPO BASIS；拒绝用一般材料补成题述负控","未到达 tracking boundary != consequence-return boundary 的直接承载内容","NO REPO BASIS","anti-gaming positive failure；未找到 PH-IND01"
Philosophy,P-A,A,P-Q8,false,true,pass,high,6,2,"可审计 preformation，但不能把 virtual 改名 L0","problem-space constitution != menu selection；anti-preformation pressure != ontology identity","AI/patches/SRT_AI_AIGOAL01_Goal_Selection_Completion_Separation_v0_1.md §§4,9-10; _SRT_SYMBOL_TABLE.md L0",""
Philosophy,P-A,A,P-Q10,true,true,pass,high,6,2,"可承认有效历史约束且不把 memory 等同 L2","explicit object != effective historical constraint；history writeback 可隐式；memory != L2","Neuroscience/patches/SRT_Neuro_NEURAL25_Memory_as_Historical_Selection_Bias_v0_1.md §§2-3,5,7-8; _SRT_SYMBOL_TABLE.md L2","anti-gaming positive"
Philosophy,P-B,B,P-Q3,true,true,pass,high,6,2,"concern domain 可以大于 bearer 物理边界","B != C_B；超域关切仍需 closure/history/stake tests","_SRT_D_VALUE_CANONICAL.md §§2b,5,5b; Philosophy/patches/SRT_Philosophy_PH_IND03_Simondon_Transduction_Operator_Structure_Second_Order_Selection_v0_1.md §7","anti-gaming positive"
Philosophy,P-B,B,P-Q4,false,true,pass,high,6,2,"现有 SRT 未证明 zombie 不可能","structural bearing != phenomenal bearing；HP-A != HP-B","Philosophy/patches/SRT_Philosophy_PH_CONSC04_Phenomenal_Necessity_Zombie_Deletion_Test_v0_1.md §§1,5-6; 03_Bridges/SRT_Ruliad_Limited_Rendering_Observer_Theory_Bridge_2026-08-08.md §8.3",""
Philosophy,P-B,B,P-Q6,true,true,pass,medium,6,2,"可作为稳定身份候选；重复本身不足","microstate identity/static copy != bearer-relative historical continuity/reconstitution","03_Bridges/SRT_Ruliad_Limited_Rendering_Observer_Theory_Bridge_2026-08-08.md §§6-7; PH_CONSC04 §§3,6; PH_IND03 §§2-3","anti-gaming positive"
Philosophy,P-B,B,P-Q7,false,true,pass,high,6,2,"不能把 transduction 直接等同 canonical selection 或 RCM","external convergence/pressure model only；problem-space restructuring 与 d/RCM 分离","Philosophy/patches/SRT_Philosophy_PH_IND03_Simondon_Transduction_Operator_Structure_Second_Order_Selection_v0_1.md §§3,5,11",""
Philosophy,P-B,B,P-Q9,false,true,pass,high,6,2,"新比较维度不能推出 d 上升或 Psi_f 下降","cognitive generativity != stake-coupling；information improvement != payability reduction","Philosophy/patches/SRT_Philosophy_PH_IND03_Simondon_Transduction_Operator_Structure_Second_Order_Selection_v0_1.md §6; _SRT_D_VALUE_CANONICAL.md §§1-2; _SRT_PSI_F_CANONICAL.md §§2-3",""
Philosophy,P-B,B,P-Q11,false,true,pass,high,6,2,"最窄结论是 C 尚非已建立的自然本体相变边界","evidence degree != ontological degree；相邻案例连续不证明 representation 不存在","Philosophy/hooks/PH_MR01_Representational_Gradualism_Integration_Hook.md §§1-3",""
Philosophy,P-C,C,P-Q1,false,true,pass,high,6,2,"不能建立 metaphysical gap 或 subjectivity","perspectival/access difference != metaphysical gap；perspective != subjectivity","Philosophy/_SRT_Philosophy_Hardening_Index.md §PH-CONSC03; SRT_AI_START.md §4",""
Philosophy,P-C,C,P-Q5,true,true,pass,high,6,2,"可作对象个体化先于丰富识别的负控，同时拒绝 minimal subject","tracking boundary != consequence-return boundary；this one != I","Philosophy/patches/SRT_Philosophy_PH_IND01_Object_Subject_Individuation_Before_Identification_v0_1.md §§1-2,6-7,9,13","anti-gaming positive"
Philosophy,P-C,C,P-Q6,true,true,pass,high,6,2,"可作为历史重构式稳定身份候选","literal microstate identity != recurrent historical reconstitution","Philosophy/patches/SRT_Philosophy_PH_DIFF01_Difference_Individuation_Generative_Selectability_v0_1.md §9,§14","anti-gaming positive"
Philosophy,P-C,C,P-Q9,false,true,pass,high,6,2,"新比较维度不能推出 d 上升或 Psi_f 下降","cognitive/generative dimension != stake dimension；local ease != total payability burden","Philosophy/patches/SRT_Philosophy_PH_MEM01_Objectification_History_Bearer_Understanding_v0_1.md §§8-9; _SRT_D_VALUE_CANONICAL.md §§1-2; _SRT_PSI_F_CANONICAL.md §§2-3",""
Philosophy,P-C,C,P-Q10,true,true,pass,high,6,2,"可承认隐式有效历史约束而拒绝 memory=L2","effective historical constraint != explicit current object；implementation bridge != canonical identity","Philosophy/patches/SRT_Philosophy_PH_MEM01_Objectification_History_Bearer_Understanding_v0_1.md §§2,4-5,10-11,13,15","anti-gaming positive"
Philosophy,P-C,C,P-Q12,false,true,pass,high,6,2,"不必然属于 J5 R3 或 I5-qualified second-order selection","generic reselection/meta-selectability != R3 alternative-generation rewrite != I5 gate","Philosophy/_SRT_Philosophy_Hardening_Index.md §SOC-COG03",""
